epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18719,0.92303,3.71844,3.53603,1.01654,0.01119,0.33333,0.25028,0.21408,0.0086,0.25605,0.15267,0.06809,0.90093,4.10312,3.29398,0.95692,0.000363475,0.000363475,0.000363475
2,13.6634,1.16954,3.07637,2.55502,0.98711,1,0.24996,0.2514,0.20368,0.98361,0.23387,0.22441,0.07759,1.15218,3.32881,2.49022,1.06621,0.000726544,0.000726544,0.000726544
3,20.0278,1.1888,2.63478,1.79781,0.97539,0.9511,0.49013,0.50829,0.3597,0.94461,0.48207,0.48854,0.2894,1.15295,2.81923,1.91884,1.11376,0.00108228,0.00108228,0.00108228
4,26.2505,1.09636,2.51377,1.34121,0.95379,0.99425,0.46069,0.49482,0.37291,0.96945,0.43649,0.45401,0.24113,0.99645,3.06563,1.49916,1.05052,0.001078,0.001078,0.001078
5,32.436,0.99477,2.20898,1.16334,0.94323,0.98233,0.5,0.52506,0.40712,0.97467,0.49194,0.5115,0.29966,0.89371,2.70169,1.32492,1.07167,0.001067,0.001067,0.001067
6,38.611,0.97373,2.25362,1.0648,0.93179,0.99267,0.5,0.52658,0.40304,0.96057,0.46774,0.48285,0.32055,0.8968,2.47527,1.08376,1.15971,0.00105601,0.00105601,0.00105601
7,44.7823,0.93068,2.2071,0.95437,0.91576,0.84178,0.60747,0.59851,0.41831,0.82584,0.5893,0.5715,0.31865,0.99331,2.31249,1.71444,1.25577,0.00104501,0.00104501,0.00104501
8,51.0769,0.88889,1.94459,0.85726,0.91065,0.86843,0.63542,0.6309,0.44299,0.83978,0.60652,0.58941,0.35048,0.88825,2.21677,1.08222,1.19087,0.00103401,0.00103401,0.00103401
9,57.1942,0.91087,2.03741,0.86792,0.92784,0.85413,0.61458,0.61004,0.44727,0.83771,0.60652,0.58799,0.33647,0.84767,2.24361,0.97844,1.15047,0.00102301,0.00102301,0.00102301
10,63.5683,0.86806,1.92294,0.81111,0.89682,0.83936,0.60417,0.5749,0.43332,0.83322,0.57638,0.55089,0.30959,0.86738,2.30644,1.16927,1.16832,0.00101201,0.00101201,0.00101201
11,69.8519,0.83114,1.82874,0.77642,0.91208,0.88138,0.62755,0.6543,0.4674,0.86569,0.61095,0.63129,0.3713,0.81878,2.04451,1.07847,1.14979,0.00100101,0.00100101,0.00100101
12,76.0475,0.84356,1.80367,0.74291,0.90245,0.90293,0.56332,0.59945,0.45923,0.887,0.54719,0.57259,0.34535,0.81387,2.22687,0.92957,1.13588,0.000990012,0.000990012,0.000990012
13,82.1422,0.80772,1.72625,0.71637,0.89073,0.83162,0.64583,0.60038,0.45945,0.80864,0.6297,0.56622,0.31664,0.81522,2.14243,0.78925,1.15071,0.000979013,0.000979013,0.000979013
14,88.2287,0.81993,1.765,0.71684,0.9003,0.93058,0.58333,0.62694,0.45535,0.86727,0.57191,0.58248,0.34348,0.79194,2.22558,0.8416,1.13681,0.000968014,0.000968014,0.000968014
15,94.3091,0.80644,1.82348,0.6993,0.88803,0.83194,0.66667,0.61558,0.47625,0.82034,0.55106,0.55549,0.33705,0.72296,2.4496,1.39799,1.10134,0.000957015,0.000957015,0.000957015
16,100.422,0.81657,1.82674,0.7106,0.91965,0.95928,0.61458,0.65345,0.47059,0.86777,0.58014,0.56791,0.35225,0.78259,2.18667,0.8052,1.11306,0.000946016,0.000946016,0.000946016
17,106.678,0.79169,1.70395,0.6869,0.8916,0.84902,0.61263,0.60379,0.47171,0.8056,0.59845,0.54182,0.3196,0.70018,2.29064,0.66438,1.05668,0.000935018,0.000935018,0.000935018
18,113.222,0.77779,1.73955,0.66637,0.89835,0.83073,0.63414,0.60967,0.47947,0.79155,0.60939,0.54251,0.32696,0.72391,2.10326,0.73833,1.06718,0.000924019,0.000924019,0.000924019
19,119.527,0.75188,1.6125,0.64704,0.87407,0.88504,0.63353,0.65343,0.4892,0.84916,0.58148,0.58134,0.35649,0.77223,2.06162,1.06395,1.08765,0.00091302,0.00091302,0.00091302
20,125.764,0.75265,1.63894,0.64968,0.89218,0.85876,0.6479,0.63704,0.47414,0.91067,0.61122,0.61152,0.33913,0.75616,2.14649,0.8936,1.10508,0.000902021,0.000902021,0.000902021
21,131.91,0.76681,1.65993,0.63643,0.88124,0.82782,0.67685,0.61764,0.47234,0.80926,0.59509,0.54262,0.31897,0.77985,2.3399,0.76465,1.12355,0.000891022,0.000891022,0.000891022
22,138.072,0.76434,1.5446,0.64633,0.87731,0.82714,0.6875,0.63317,0.45237,0.81923,0.61358,0.56768,0.33177,0.8025,2.15586,0.78159,1.12752,0.000880023,0.000880023,0.000880023
23,144.221,0.77283,1.66023,0.6387,0.88655,0.89286,0.63542,0.64121,0.49147,0.84004,0.58468,0.54717,0.32715,0.78726,2.11563,0.80213,1.12945,0.000869024,0.000869024,0.000869024
24,150.392,0.74908,1.54775,0.62482,0.88935,0.95816,0.64583,0.67122,0.47158,0.92287,0.59748,0.60511,0.33803,0.74234,2.40901,0.67908,1.07,0.000858025,0.000858025,0.000858025
25,156.522,0.72187,1.48558,0.60507,0.88465,0.89027,0.61458,0.61467,0.47734,0.87491,0.59274,0.57423,0.34116,0.79074,2.61436,0.73652,1.12352,0.000847026,0.000847026,0.000847026
26,162.719,0.75441,1.59069,0.59582,0.87727,0.90483,0.63542,0.64045,0.46774,0.87579,0.57191,0.56934,0.34668,0.80767,2.68889,0.67869,1.12417,0.000836027,0.000836027,0.000836027
27,168.91,0.73737,1.55715,0.60356,0.87332,0.84909,0.57292,0.58238,0.45767,0.80737,0.53831,0.52602,0.32273,0.77184,2.94833,0.74996,1.1012,0.000825029,0.000825029,0.000825029
28,175.223,0.72603,1.53268,0.60168,0.87684,0.89321,0.61458,0.64319,0.49081,0.83105,0.55578,0.53242,0.32577,0.74988,2.51204,0.67013,1.10936,0.00081403,0.00081403,0.00081403
29,181.611,0.70004,1.48634,0.5851,0.87493,0.86438,0.64583,0.63426,0.47332,0.82495,0.59274,0.57557,0.34795,0.76196,2.06975,0.66858,1.09077,0.000803031,0.000803031,0.000803031
30,188.232,0.73718,1.4989,0.58139,0.88622,0.9128,0.65625,0.65604,0.49583,0.84987,0.58468,0.55003,0.3417,0.75156,2.33822,0.6978,1.09283,0.000792032,0.000792032,0.000792032
31,195.068,0.7214,1.47687,0.57199,0.8759,0.95078,0.61137,0.64521,0.48383,0.91516,0.57997,0.60063,0.36178,0.69887,2.05157,0.63586,1.07364,0.000781033,0.000781033,0.000781033
32,201.622,0.70389,1.50419,0.56987,0.87599,0.83386,0.61458,0.60289,0.47487,0.80636,0.58804,0.56583,0.35834,0.73748,2.31178,0.63614,1.10696,0.000770034,0.000770034,0.000770034
33,208.066,0.67198,1.39676,0.56082,0.87173,0.85231,0.61458,0.62184,0.48717,0.84028,0.59138,0.56599,0.34788,0.75534,2.38316,0.67239,1.12938,0.000759035,0.000759035,0.000759035
34,214.76,0.71166,1.50359,0.57965,0.87533,0.87306,0.60725,0.63,0.47249,0.81353,0.54066,0.51804,0.30242,0.76662,2.48557,0.66186,1.09964,0.000748036,0.000748036,0.000748036
35,221.474,0.68819,1.38554,0.55218,0.87029,0.87586,0.61869,0.62907,0.47854,0.8002,0.63319,0.55482,0.30037,0.73633,2.26805,0.77073,1.11324,0.000737037,0.000737037,0.000737037
36,228.426,0.68692,1.46514,0.53918,0.869,0.86685,0.66667,0.64497,0.49656,0.81618,0.61593,0.56563,0.35085,0.71056,2.05541,0.66972,1.08492,0.000726038,0.000726038,0.000726038
37,235.478,0.67826,1.42581,0.53683,0.86689,0.90925,0.61458,0.61973,0.4714,0.89328,0.59845,0.59159,0.33006,0.71715,2.21204,0.63218,1.08398,0.00071504,0.00071504,0.00071504
38,241.925,0.6795,1.38243,0.53871,0.86731,0.89553,0.61458,0.62431,0.47082,0.87162,0.57762,0.60186,0.35327,0.75338,2.16479,0.65031,1.10195,0.000704041,0.000704041,0.000704041
39,248.311,0.67416,1.38546,0.5533,0.87027,0.93513,0.62342,0.66392,0.49321,0.94313,0.59845,0.63573,0.37172,0.76138,2.1086,0.61971,1.12546,0.000693042,0.000693042,0.000693042
40,254.944,0.68825,1.42379,0.53963,0.87099,0.88596,0.62803,0.65044,0.48495,0.87457,0.61247,0.6262,0.38513,0.74374,2.34084,0.59455,1.11529,0.000682043,0.000682043,0.000682043
41,261.85,0.67728,1.38192,0.53347,0.87482,0.95355,0.60417,0.64782,0.50597,0.9216,0.57191,0.58475,0.36263,0.73039,2.41176,0.60441,1.10039,0.000671044,0.000671044,0.000671044
42,268.839,0.65729,1.36907,0.58233,0.86226,0.8459,0.625,0.61711,0.4883,0.83491,0.58063,0.57263,0.34368,0.79306,2.35241,0.67553,1.12746,0.000660045,0.000660045,0.000660045
43,275.939,0.69386,1.41261,0.54421,0.88222,0.83761,0.57292,0.57677,0.46142,0.78569,0.57762,0.54118,0.34219,0.78914,2.76751,0.7839,1.09266,0.000649046,0.000649046,0.000649046
44,283.119,0.68307,1.40579,0.52397,0.87151,0.87432,0.58333,0.60771,0.4788,0.81784,0.56894,0.58087,0.35493,0.69228,2.5826,0.60306,1.05821,0.000638047,0.000638047,0.000638047
45,290.47,0.68358,1.41908,0.54418,0.876,0.90017,0.63542,0.64577,0.50307,0.88812,0.60551,0.59259,0.35401,0.68536,2.3002,0.5859,1.05371,0.000627048,0.000627048,0.000627048
46,299.063,0.66109,1.39668,0.51684,0.85636,0.70315,0.62758,0.66157,0.50244,0.67074,0.59039,0.59559,0.35928,0.68516,2.20279,0.59887,1.05046,0.000616049,0.000616049,0.000616049
47,306.714,0.66122,1.38862,0.52251,0.87024,0.66117,0.61458,0.64768,0.50435,0.61326,0.5662,0.57883,0.34833,0.7054,2.55668,0.59989,1.08148,0.000605051,0.000605051,0.000605051
48,313.837,0.64711,1.39078,0.50196,0.85582,0.65709,0.60419,0.63874,0.49549,0.63033,0.56384,0.58637,0.35618,0.72283,2.60682,0.63955,1.07646,0.000594052,0.000594052,0.000594052
49,319.982,0.63416,1.33434,0.50665,0.86524,0.61267,0.63255,0.63136,0.48948,0.65612,0.54872,0.58308,0.36093,0.70229,2.68419,0.62414,1.07935,0.000583053,0.000583053,0.000583053
50,326.431,0.64764,1.3144,0.5024,0.86463,0.63173,0.61258,0.63522,0.4934,0.62798,0.57847,0.58485,0.33839,0.70944,2.73709,0.57631,1.06483,0.000572054,0.000572054,0.000572054
51,332.455,0.6636,1.32427,0.50779,0.86816,0.63803,0.60417,0.62977,0.48213,0.6222,0.58804,0.5918,0.34201,0.6997,2.7196,0.59382,1.07941,0.000561055,0.000561055,0.000561055
52,338.473,0.62552,1.26355,0.48836,0.8468,0.63283,0.60417,0.62669,0.49873,0.61703,0.58804,0.59606,0.33275,0.67714,2.51769,0.59231,1.08149,0.000550056,0.000550056,0.000550056
53,344.669,0.6512,1.39848,0.50547,0.86343,0.60241,0.60417,0.61745,0.49016,0.58655,0.58804,0.56904,0.345,0.7155,2.60994,0.61329,1.0975,0.000539057,0.000539057,0.000539057
54,350.88,0.63127,1.34351,0.48613,0.85902,0.61852,0.63953,0.64433,0.49662,0.66236,0.58804,0.60626,0.3493,0.6822,2.16475,0.62062,1.08145,0.000528058,0.000528058,0.000528058
55,357.006,0.64155,1.34174,0.47825,0.84953,0.70322,0.60417,0.64959,0.49656,0.68722,0.58804,0.61248,0.34961,0.65893,2.28279,0.57124,1.04728,0.000517059,0.000517059,0.000517059
56,363.196,0.6266,1.33202,0.47806,0.84791,0.61246,0.61458,0.6133,0.49298,0.59661,0.59845,0.57554,0.3274,0.6414,2.51552,0.56436,1.0437,0.00050606,0.00050606,0.00050606
57,369.293,0.62502,1.31331,0.48076,0.85121,0.61646,0.60417,0.61772,0.4906,0.59267,0.57997,0.57387,0.3416,0.69649,2.57537,0.58431,1.0809,0.000495062,0.000495062,0.000495062
58,375.425,0.62929,1.28931,0.47529,0.85538,0.68078,0.61982,0.64547,0.49596,0.65683,0.59562,0.6011,0.35419,0.71131,2.64282,0.5733,1.09217,0.000484063,0.000484063,0.000484063
59,381.555,0.62246,1.27753,0.47371,0.85466,0.69286,0.625,0.65771,0.51283,0.66889,0.60081,0.61128,0.36735,0.67069,2.54203,0.58684,1.05685,0.000473064,0.000473064,0.000473064
60,387.595,0.62794,1.31439,0.4821,0.85888,0.62789,0.64583,0.63868,0.50515,0.58414,0.61122,0.57495,0.35213,0.69001,2.87885,0.56987,1.06577,0.000462065,0.000462065,0.000462065
61,393.687,0.64487,1.27223,0.47686,0.86885,0.63508,0.625,0.65293,0.50335,0.58549,0.61394,0.6081,0.35631,0.69148,2.39858,0.54851,1.06743,0.000451066,0.000451066,0.000451066
62,399.714,0.63359,1.32852,0.47647,0.84751,0.65494,0.61458,0.63832,0.48138,0.60181,0.57191,0.58105,0.34667,0.72832,2.51269,0.5935,1.08678,0.000440067,0.000440067,0.000440067
63,405.745,0.61293,1.27856,0.46841,0.84994,0.6994,0.6373,0.66156,0.49642,0.64862,0.60348,0.6125,0.34384,0.69206,2.66229,0.54468,1.08258,0.000429068,0.000429068,0.000429068
64,411.751,0.60743,1.2566,0.45843,0.84196,0.71632,0.61458,0.65092,0.49639,0.69092,0.58804,0.60573,0.35587,0.70702,2.73468,0.57228,1.08632,0.000418069,0.000418069,0.000418069
65,417.787,0.59345,1.23288,0.44947,0.85895,0.73091,0.60417,0.64171,0.49017,0.71486,0.58804,0.60051,0.3504,0.70407,2.7259,0.593,1.09069,0.00040707,0.00040707,0.00040707
66,423.933,0.62317,1.20756,0.46567,0.85643,0.66019,0.61458,0.62913,0.49165,0.64422,0.59845,0.61257,0.35616,0.7411,2.58627,0.60562,1.11864,0.000396071,0.000396071,0.000396071
67,430.338,0.62469,1.2147,0.46574,0.83927,0.70842,0.61458,0.63748,0.48873,0.6925,0.59845,0.62043,0.37024,0.72837,2.72373,0.58294,1.11034,0.000385073,0.000385073,0.000385073
68,436.379,0.60838,1.19582,0.45154,0.84376,0.65564,0.625,0.63326,0.49055,0.65594,0.61929,0.61908,0.36396,0.6852,2.83439,0.55164,1.0951,0.000374074,0.000374074,0.000374074
69,442.36,0.61626,1.29151,0.46173,0.84894,0.69027,0.61383,0.63812,0.49877,0.63221,0.6098,0.60593,0.37306,0.71908,2.82968,0.59194,1.10806,0.000363075,0.000363075,0.000363075
70,448.414,0.60153,1.25145,0.45011,0.85613,0.73321,0.62136,0.64105,0.49677,0.69802,0.58804,0.59885,0.36765,0.71737,2.82015,0.55342,1.10115,0.000352076,0.000352076,0.000352076
71,454.497,0.6107,1.24883,0.4556,0.86089,0.69151,0.62178,0.65526,0.5062,0.65606,0.58233,0.5965,0.35848,0.70059,2.47193,0.59743,1.1031,0.000341077,0.000341077,0.000341077
72,460.516,0.61468,1.22247,0.45131,0.85164,0.68444,0.65625,0.67237,0.50239,0.70835,0.60081,0.62129,0.35622,0.67798,2.34765,0.54965,1.07136,0.000330078,0.000330078,0.000330078
73,466.653,0.58078,1.19677,0.45025,0.84674,0.70986,0.64583,0.67304,0.49953,0.65209,0.60081,0.61281,0.37309,0.67552,2.42101,0.50928,1.06067,0.000319079,0.000319079,0.000319079
74,473.622,0.60666,1.21858,0.4533,0.84113,0.69798,0.63961,0.6701,0.50969,0.63547,0.63386,0.6424,0.38079,0.6625,2.47382,0.50764,1.0621,0.00030808,0.00030808,0.00030808
75,480.137,0.58342,1.28239,0.45411,0.85419,0.69747,0.63542,0.67034,0.5166,0.66399,0.60887,0.64505,0.37531,0.64119,2.40958,0.50628,1.06372,0.000297081,0.000297081,0.000297081
76,486.302,0.58348,1.21078,0.44062,0.84606,0.71033,0.63122,0.66348,0.50466,0.66826,0.5985,0.622,0.36726,0.647,2.50282,0.51278,1.0852,0.000286083,0.000286083,0.000286083
77,492.478,0.5635,1.16345,0.43017,0.85328,0.69028,0.63542,0.65732,0.51262,0.62589,0.61929,0.62435,0.38469,0.67583,2.62069,0.50544,1.08702,0.000275084,0.000275084,0.000275084
78,498.448,0.57821,1.20807,0.44241,0.85059,0.72024,0.63542,0.66746,0.52223,0.67634,0.59845,0.62617,0.3811,0.66054,2.66474,0.51421,1.0779,0.000264085,0.000264085,0.000264085
79,504.482,0.59666,1.22006,0.43628,0.85416,0.71699,0.61458,0.66497,0.52295,0.69252,0.59039,0.6328,0.36936,0.67176,2.88258,0.5283,1.09692,0.000253086,0.000253086,0.000253086
80,510.413,0.5803,1.19474,0.43259,0.84829,0.70316,0.61458,0.65412,0.51327,0.63807,0.60499,0.6215,0.35635,0.67518,2.53604,0.51858,1.08622,0.000242087,0.000242087,0.000242087
81,516.356,0.58262,1.2131,0.44269,0.85129,0.69299,0.625,0.65561,0.50603,0.64378,0.58804,0.58749,0.35045,0.68177,2.88801,0.51475,1.0785,0.000231088,0.000231088,0.000231088
82,522.321,0.59456,1.21729,0.44381,0.85368,0.71875,0.625,0.6685,0.50877,0.71162,0.59473,0.62855,0.3705,0.64733,2.49401,0.47597,1.07449,0.000220089,0.000220089,0.000220089
83,528.401,0.55796,1.19323,0.42744,0.84008,0.72313,0.64109,0.67845,0.52474,0.70865,0.61929,0.65298,0.37744,0.65056,2.45693,0.47763,1.08112,0.00020909,0.00020909,0.00020909
84,534.371,0.56786,1.16869,0.42635,0.83777,0.70913,0.6404,0.67898,0.52315,0.71385,0.61534,0.65352,0.36486,0.64867,2.49531,0.48941,1.07616,0.000198091,0.000198091,0.000198091
85,540.279,0.56618,1.16259,0.42311,0.83975,0.71958,0.61458,0.65475,0.51042,0.69081,0.58804,0.62567,0.3606,0.63936,2.97592,0.51153,1.08448,0.000187092,0.000187092,0.000187092
86,546.369,0.58825,1.24295,0.43044,0.84679,0.7339,0.61458,0.64941,0.50968,0.60242,0.65054,0.62326,0.37507,0.62262,3.22091,0.52014,1.0674,0.000176094,0.000176094,0.000176094
87,552.404,0.56,1.1425,0.41776,0.82682,0.73069,0.625,0.65816,0.51589,0.65081,0.60887,0.62702,0.37705,0.654,2.91712,0.52512,1.07802,0.000165095,0.000165095,0.000165095
88,558.376,0.54326,1.18676,0.42056,0.85538,0.73112,0.63532,0.6597,0.51881,0.69531,0.60887,0.62829,0.38261,0.64309,2.89449,0.52703,1.07328,0.000154096,0.000154096,0.000154096
89,564.442,0.56459,1.22198,0.42161,0.8481,0.68902,0.64195,0.65847,0.51985,0.65717,0.61561,0.62383,0.39272,0.64535,2.90525,0.5247,1.08066,0.000143097,0.000143097,0.000143097
90,570.422,0.56128,1.2023,0.4236,0.83575,0.67808,0.625,0.65168,0.51315,0.63891,0.59845,0.61931,0.38791,0.63681,3.08989,0.53538,1.06889,0.000132098,0.000132098,0.000132098
91,576.865,0.56653,1.16379,0.43181,0.82551,0.72135,0.60417,0.64447,0.50652,0.68037,0.5672,0.59839,0.38102,0.62741,3.30303,0.56066,1.05821,0.000121099,0.000121099,0.000121099
92,583.335,0.57956,1.12579,0.43111,0.83799,0.7227,0.60417,0.64745,0.50315,0.7143,0.55679,0.58409,0.36865,0.6331,3.27379,0.55165,1.07223,0.0001101,0.0001101,0.0001101
93,589.978,0.55175,1.15225,0.41849,0.81513,0.72846,0.61233,0.65148,0.51027,0.65804,0.56786,0.58864,0.36702,0.63091,3.33719,0.53767,1.08767,9.91012e-05,9.91012e-05,9.91012e-05
94,596.216,0.55262,1.16584,0.41331,0.82199,0.72025,0.60417,0.64945,0.50627,0.67677,0.56956,0.6022,0.3594,0.61346,3.45672,0.53014,1.07241,8.81023e-05,8.81023e-05,8.81023e-05
95,602.287,0.53812,1.10111,0.40245,0.80574,0.68083,0.61952,0.65356,0.50751,0.64674,0.59569,0.6061,0.35795,0.62242,3.51432,0.53928,1.06539,7.71034e-05,7.71034e-05,7.71034e-05
96,608.52,0.54742,1.0957,0.42183,0.8188,0.72623,0.61378,0.645,0.50731,0.71986,0.56643,0.59496,0.36474,0.63319,3.5388,0.53361,1.07211,6.61045e-05,6.61045e-05,6.61045e-05
97,614.711,0.55269,1.18278,0.40898,0.81106,0.7183,0.61458,0.64936,0.50377,0.67279,0.57997,0.59959,0.37193,0.62708,3.3743,0.52616,1.07047,5.51056e-05,5.51056e-05,5.51056e-05
98,621.152,0.55145,1.18222,0.42233,0.81327,0.72837,0.61458,0.65116,0.50592,0.68155,0.57997,0.59463,0.37234,0.63216,3.22215,0.5286,1.07208,4.41067e-05,4.41067e-05,4.41067e-05
99,627.388,0.54046,1.12257,0.41325,0.82364,0.72606,0.61458,0.65266,0.5091,0.67985,0.57997,0.60486,0.38298,0.61683,3.11068,0.52792,1.06471,3.31078e-05,3.31078e-05,3.31078e-05
100,633.46,0.53291,1.09783,0.39909,0.81375,0.72615,0.61458,0.65484,0.50974,0.68031,0.57997,0.60544,0.38454,0.61722,3.04596,0.52372,1.06931,2.21089e-05,2.21089e-05,2.21089e-05
