epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4905,1.15988,3.33341,3.72694,1.1005,0.92366,0.15225,0.17539,0.11789,0.85293,0.16385,0.10149,0.04109,1.48699,4.79136,3.08482,1.08013,0.000275209,0.000275209,0.000275209
2,27.8384,1.29455,2.90244,2.41446,1.08156,0.86577,0.27345,0.27126,0.19086,0.85941,0.26459,0.24857,0.14587,1.5507,3.62281,1.95428,1.13958,0.000547403,0.000547403,0.000547403
3,41.3679,1.34433,2.5879,1.71647,1.08882,0.86885,0.28717,0.3239,0.20632,0.85016,0.26099,0.28305,0.15432,1.49742,3.41068,1.80068,1.0934,0.000814098,0.000814098,0.000814098
4,54.7127,1.27241,2.4093,1.43129,1.06751,0.75771,0.31655,0.39607,0.25019,0.73057,0.30934,0.35655,0.21772,1.35969,3.3525,1.59961,1.05096,0.00080826,0.00080826,0.00080826
5,66.7369,1.17007,2.27156,1.29146,1.04818,0.77871,0.3597,0.40463,0.26276,0.7833,0.34153,0.38219,0.23006,1.29277,3.26306,1.62411,1.06133,0.000800013,0.000800013,0.000800013
6,79.0899,1.15154,2.28795,1.22202,1.04244,0.73462,0.38555,0.41224,0.28386,0.73345,0.4028,0.38486,0.21775,1.31712,3.24424,1.52271,1.06309,0.000791767,0.000791767,0.000791767
7,90.9022,1.15641,2.27935,1.19148,1.0503,0.74358,0.37357,0.42843,0.28052,0.70897,0.38938,0.38127,0.25281,1.25473,2.81624,1.43226,1.05273,0.00078352,0.00078352,0.00078352
8,102.895,1.09075,2.09839,1.09957,1.02777,0.64299,0.3819,0.41134,0.27846,0.62102,0.36136,0.38144,0.23748,1.25863,2.75112,1.35942,1.02161,0.000775273,0.000775273,0.000775273
9,115.398,1.07976,2.09054,1.05268,1.02615,0.80498,0.38052,0.43426,0.29815,0.79244,0.36816,0.40681,0.23557,1.27381,2.74453,1.40049,1.02002,0.000767026,0.000767026,0.000767026
10,127.91,1.04458,2.08535,1.00212,1.00377,0.83451,0.43089,0.45346,0.2921,0.79452,0.38519,0.40992,0.23832,1.18038,2.76402,1.16942,1.04099,0.00075878,0.00075878,0.00075878
11,139.729,1.0377,2.05049,1.01117,1.01151,0.83715,0.46233,0.43729,0.29615,0.82776,0.43926,0.4143,0.23575,1.17917,2.72849,1.20642,1.07367,0.000750533,0.000750533,0.000750533
12,151.657,1.01648,1.99866,0.9684,1.00099,0.87867,0.4261,0.4805,0.32533,0.52915,0.59167,0.50194,0.28855,1.12865,2.91739,1.14644,1.01838,0.000742286,0.000742286,0.000742286
13,163.577,1.00902,1.92647,0.96172,1.00528,0.6046,0.35404,0.45003,0.30328,0.50654,0.49728,0.43031,0.25606,1.21232,2.58857,1.25087,1.02969,0.00073404,0.00073404,0.00073404
14,180.733,1.01722,2.00305,0.94302,1.00509,0.72441,0.45489,0.51802,0.31814,0.84678,0.39983,0.46421,0.26338,1.21878,2.58871,1.11965,1.0462,0.000725793,0.000725793,0.000725793
15,192.634,1.02604,1.96794,0.94616,1.00407,0.6668,0.5166,0.48301,0.32546,0.65317,0.50903,0.45836,0.26772,1.0334,2.76027,1.04132,0.96734,0.000717546,0.000717546,0.000717546
16,205.11,0.95382,1.86773,0.87883,0.97799,0.73706,0.55691,0.54667,0.33946,0.72528,0.54352,0.50408,0.27447,1.0313,2.68348,1.07734,0.95333,0.000709299,0.000709299,0.000709299
17,217.833,0.96391,1.84813,0.89666,0.98342,0.75873,0.57518,0.56455,0.34421,0.7101,0.56074,0.54974,0.31021,1.15672,2.58684,1.06046,1.05648,0.000701053,0.000701053,0.000701053
18,230.662,0.97962,1.87732,0.89151,0.99805,0.71069,0.56229,0.55908,0.35811,0.69197,0.53135,0.52697,0.28877,1.10383,2.52645,1.04008,0.9953,0.000692806,0.000692806,0.000692806
