epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34937,0.85596,3.86456,1.00786,0,0,0,0,0.71394,3.83633,1.03914,0.000359752,0.000359752,0.000359752
2,11.6058,0.83179,3.30924,0.96462,0.02935,0.33333,0.25722,0.22798,0.80026,3.38144,1.00156,0.000722858,0.000722858,0.000722858
3,14.887,0.87397,2.68303,0.96435,1,0.2419,0.33268,0.30092,0.96751,2.57989,1.05204,0.00107863,0.00107863,0.00107863
4,18.1636,0.97428,2.16941,0.96051,0.99662,0.33333,0.33469,0.30906,0.97427,1.79089,1.03558,0.001078,0.001078,0.001078
5,21.678,0.95629,1.65703,0.97801,0.99799,0.33333,0.33434,0.28239,1.025,1.53421,1.08927,0.001067,0.001067,0.001067
6,25.0466,0.93621,1.37388,0.9718,0.99411,0.33333,0.34361,0.29251,0.82135,1.2155,0.99514,0.00105601,0.00105601,0.00105601
7,28.4694,0.80018,1.09533,0.91578,0.97743,0.33333,0.41002,0.29561,0.8043,1.13629,0.98326,0.00104501,0.00104501,0.00104501
8,31.6198,0.80757,0.9929,0.94578,0.97567,0.33333,0.44311,0.3219,0.71945,1.21414,0.96073,0.00103401,0.00103401,0.00103401
9,35.467,0.81561,0.97257,0.92939,0.98635,0.33333,0.45237,0.3153,0.7774,1.19439,0.98985,0.00102301,0.00102301,0.00102301
10,38.5985,0.77353,0.84625,0.9017,0.99784,0.33333,0.40715,0.32188,0.72963,0.87561,0.974,0.00101201,0.00101201,0.00101201
11,42.8386,0.76032,0.86637,0.91669,0.65844,0.42678,0.40748,0.32308,0.70727,0.77457,0.97892,0.00100101,0.00100101,0.00100101
12,47.5585,0.68245,0.75452,0.9073,0.73252,0.43333,0.42259,0.33681,0.76297,0.84031,0.99124,0.000990012,0.000990012,0.000990012
13,52.6876,0.68019,0.76479,0.88766,0.74834,0.43333,0.43857,0.35289,0.67079,0.79242,0.95576,0.000979013,0.000979013,0.000979013
14,57.1781,0.65926,0.75836,0.89083,0.76936,0.43333,0.4482,0.35783,0.65121,0.744,0.95134,0.000968014,0.000968014,0.000968014
15,61.485,0.65311,0.69687,0.90377,0.78982,0.43333,0.44456,0.35835,0.61717,0.69859,0.93386,0.000957015,0.000957015,0.000957015
16,68.2729,0.64521,0.72542,0.90864,0.77321,0.43333,0.44094,0.35654,0.63363,0.73521,0.94516,0.000946016,0.000946016,0.000946016
17,73.0098,0.66662,0.69698,0.90423,0.70948,0.4292,0.3942,0.34129,0.6244,0.67232,0.92621,0.000935018,0.000935018,0.000935018
18,78.0205,0.63062,0.65457,0.88887,0.71723,0.46472,0.40297,0.32503,0.67627,0.66366,0.93726,0.000924019,0.000924019,0.000924019
19,82.2709,0.62037,0.63429,0.87263,0.74334,0.50651,0.42412,0.34959,0.62333,0.6791,0.92553,0.00091302,0.00091302,0.00091302
20,86.1811,0.61178,0.61445,0.87443,0.76585,0.52391,0.42713,0.34161,0.64002,0.71327,0.9269,0.000902021,0.000902021,0.000902021
21,90.2293,0.6158,0.63691,0.88619,0.76011,0.46667,0.42397,0.34496,0.67429,0.71383,0.93696,0.000891022,0.000891022,0.000891022
22,94.1007,0.60312,0.60326,0.88026,0.76335,0.5,0.46623,0.35973,0.56966,0.59641,0.91277,0.000880023,0.000880023,0.000880023
23,97.9929,0.58163,0.57685,0.88275,0.73799,0.46805,0.4591,0.36468,0.63173,0.65042,0.92845,0.000869024,0.000869024,0.000869024
24,101.742,0.5905,0.56796,0.86779,0.84286,0.5,0.52695,0.3929,0.61776,0.61774,0.91496,0.000858025,0.000858025,0.000858025
25,105.529,0.57061,0.56606,0.88696,0.9171,0.5,0.54404,0.39497,0.63738,0.62398,0.9125,0.000847026,0.000847026,0.000847026
26,109.408,0.60502,0.58195,0.8725,0.92244,0.49855,0.54241,0.39314,0.59293,0.57461,0.91596,0.000836027,0.000836027,0.000836027
27,113.283,0.56487,0.54668,0.8816,0.90985,0.52166,0.57384,0.38611,0.5996,0.54349,0.91278,0.000825029,0.000825029,0.000825029
28,117.287,0.55708,0.54139,0.87128,0.8586,0.5,0.53119,0.41885,0.50112,0.51568,0.88805,0.00081403,0.00081403,0.00081403
29,121.32,0.55752,0.53215,0.86847,0.83797,0.55937,0.528,0.42172,0.51616,0.52195,0.88616,0.000803031,0.000803031,0.000803031
30,125.202,0.55343,0.53923,0.87658,0.86199,0.53333,0.52288,0.43584,0.52467,0.52701,0.88312,0.000792032,0.000792032,0.000792032
31,129.258,0.55323,0.50336,0.86721,0.78769,0.57744,0.52281,0.40267,0.57912,0.53399,0.90004,0.000781033,0.000781033,0.000781033
32,133.246,0.52697,0.47658,0.85145,0.85021,0.52917,0.53173,0.41123,0.53701,0.53105,0.88364,0.000770034,0.000770034,0.000770034
33,137.105,0.53392,0.48327,0.86196,0.79213,0.55752,0.51248,0.42105,0.49341,0.50412,0.87607,0.000759035,0.000759035,0.000759035
34,141.178,0.53876,0.50863,0.86141,0.8122,0.56667,0.493,0.41515,0.5246,0.51979,0.87874,0.000748036,0.000748036,0.000748036
35,145.144,0.54023,0.49444,0.86144,0.86345,0.56667,0.5475,0.43648,0.49943,0.4795,0.87257,0.000737037,0.000737037,0.000737037
36,148.851,0.53224,0.49907,0.84663,0.86915,0.56667,0.57969,0.43434,0.57731,0.4965,0.88723,0.000726038,0.000726038,0.000726038
37,152.718,0.56516,0.49465,0.85883,0.91072,0.56178,0.58053,0.41684,0.56172,0.49157,0.88721,0.00071504,0.00071504,0.00071504
38,156.663,0.54818,0.48241,0.84691,0.89212,0.6,0.55703,0.42779,0.54659,0.51334,0.88833,0.000704041,0.000704041,0.000704041
39,160.491,0.53051,0.48005,0.85608,0.8931,0.6,0.54844,0.42579,0.50253,0.50658,0.87594,0.000693042,0.000693042,0.000693042
40,164.258,0.51528,0.46276,0.85618,0.91815,0.59842,0.58209,0.44404,0.56251,0.47186,0.88476,0.000682043,0.000682043,0.000682043
41,167.896,0.54682,0.47754,0.8554,0.91576,0.59796,0.5923,0.44065,0.54692,0.46526,0.88258,0.000671044,0.000671044,0.000671044
42,171.59,0.51821,0.46953,0.85336,0.90486,0.6,0.56916,0.43372,0.54878,0.48729,0.88044,0.000660045,0.000660045,0.000660045
43,175.522,0.50515,0.46987,0.85848,0.85791,0.56667,0.56958,0.43352,0.61238,0.47081,0.89365,0.000649046,0.000649046,0.000649046
44,179.556,0.51826,0.47259,0.85133,0.84057,0.56667,0.55821,0.42979,0.55867,0.44854,0.89322,0.000638047,0.000638047,0.000638047
45,183.707,0.50385,0.45143,0.84807,0.9488,0.56312,0.59563,0.44994,0.59583,0.4737,0.8993,0.000627048,0.000627048,0.000627048
46,187.776,0.54086,0.46132,0.86204,0.99472,0.56259,0.59813,0.4444,0.59849,0.5017,0.89224,0.000616049,0.000616049,0.000616049
47,191.69,0.53622,0.45417,0.85687,0.89735,0.6,0.59266,0.45374,0.57358,0.46241,0.88174,0.000605051,0.000605051,0.000605051
48,195.403,0.51408,0.42649,0.84336,0.84145,0.6,0.56454,0.43513,0.61213,0.5037,0.88686,0.000594052,0.000594052,0.000594052
49,199.132,0.49897,0.44121,0.8332,0.52636,0.59878,0.56137,0.4115,0.62419,0.49938,0.89384,0.000583053,0.000583053,0.000583053
50,202.904,0.52487,0.44637,0.8523,0.64367,0.53333,0.5844,0.44235,0.55199,0.47718,0.88387,0.000572054,0.000572054,0.000572054
51,206.961,0.50462,0.43188,0.84707,0.98645,0.56667,0.60227,0.44232,0.53837,0.46689,0.88211,0.000561055,0.000561055,0.000561055
52,210.666,0.50023,0.44102,0.85067,0.98563,0.56667,0.59833,0.43109,0.58374,0.5326,0.88995,0.000550056,0.000550056,0.000550056
53,214.305,0.53321,0.43803,0.85463,0.97034,0.53333,0.56067,0.42099,0.54833,0.47932,0.88695,0.000539057,0.000539057,0.000539057
54,218.145,0.53101,0.44038,0.84467,0.88384,0.56667,0.5388,0.42092,0.60137,0.4569,0.89655,0.000528058,0.000528058,0.000528058
55,222.124,0.49167,0.42304,0.85315,0.94781,0.59891,0.60476,0.45207,0.56573,0.46094,0.88794,0.000517059,0.000517059,0.000517059
56,226.222,0.53271,0.43284,0.84732,0.98445,0.6,0.61116,0.45429,0.56502,0.44595,0.88455,0.00050606,0.00050606,0.00050606
57,230.402,0.51118,0.4308,0.8633,0.98588,0.59786,0.61288,0.45042,0.60794,0.44734,0.89285,0.000495062,0.000495062,0.000495062
